price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
129 triệu,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","2,15 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,60 m²
65 tỷ,"867A, Đường Trường Chinh, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","95,17 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,683 m²
150 triệu,"1036, Đường Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Tp Hồ Chí Minh","3,75 triệu/m²",Tây Nam,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,40 m²
200 triệu,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,57 triệu/m²",Tây Nam,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,127 m²
60 triệu,"Đường Thanh Đa, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh",6 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,10 m²
35 tỷ,"Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",500 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,70 m²
42 tỷ,"Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","53,85 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,780 m²
105 tỷ,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh","1,53 tỷ/m²",,Đã có sổ,Mặt bằng kinh doanh,,68.6 m²
8 triệu,"Bà Hạt, Phường 9, Quận 10, Tp Hồ Chí Minh",228.571 đ/m²,Đông,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,35 m²
450 triệu,"317/42, Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","4,50 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
100 triệu,"Đường Lò Lu, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",66.666 đ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,,1500 m²
7 tỷ,"KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",140 triệu/m²,,Đã có sổ,Shophouse,Bàn giao thô,50 m²
28 tỷ,"Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",280 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
"5,90 tỷ","33, Trương Công Định, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","84,29 triệu/m²",,Đang chờ sổ,Shophouse,,70 m²
750 triệu,"79, Đường Số 23, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,500 m²
84 tỷ,"Đường Song Hành, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",420 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,200 m²
"12,10 tỷ","A93, Đường Tô Ký, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",220 triệu/m²,Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,55 m²
"13,80 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","132,69 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,,104 m²
26 tỷ,"Hiệp Bình Phước, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","195,49 triệu/m²",,Đã có sổ,Văn phòng,,133 m²
90 triệu,"5/6, Đường Nguyễn Thị Tư, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,50 triệu/m²",,Giấy tờ khác,Văn phòng,,36 m²
20 triệu,"5/6, Nguyễn Thị Tư, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,37 triệu/m²",,Giấy tờ khác,Văn phòng,Hoàn thiện cơ bản,14.64 m²
10 triệu,"101/11 thành thái , Đường Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",1 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,,10 m²
32 tỷ,"An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","175,92 triệu/m²",,Đã có sổ,Shophouse,,181.9 m²
"4,20 tỷ","Đại lộ Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","131,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,32 m²
34 tỷ,"Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","255,64 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,133 m²
110 triệu,"1044, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",550.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
90 tỷ,"Tô Ngọc Vân, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",60 triệu/m²,Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,1500 m²
130 triệu,"19, Tân hòa đông, Phường 13, Quận 6, Tp Hồ Chí Minh","1,44 triệu/m²",Đông Bắc,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,90 m²
"5,20 tỷ",Đường Phạm Thế Hiển,"34,21 triệu/m²",,Đã có sổ,Shophouse,,152 m²
16 tỷ,"Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","278,26 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,57.5 m²
550 triệu,"Số 10, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,68 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,327 m²
22 triệu,"88, Đường Số 40, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",220.000 đ/m²,Đông Bắc,Đã có sổ,Văn phòng,Nội thất cao cấp,100 m²
"8,80 tỷ","Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","162,96 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,54 m²
17 triệu,"229, Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",425.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,40 m²
80 triệu,"113, Đường Gò Ô Môi, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,33 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,60 m²
160 triệu,"số 6, Đường Bùi Đình Tuý, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","5,33 triệu/m²",Tây Bắc,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,30 m²
90 tỷ,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","64,13 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1403.4 m²
230 triệu,"Đường Tôn Thất Ðạm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",23 triệu/m²,Nam,Đã có sổ,Mặt bằng kinh doanh,,10 m²
"19,50 tỷ","Đường Phan Đình Phùng, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","282,61 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,69 m²
"9,80 tỷ","1028/39, Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",98 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,100 m²
60 triệu,"Đường Hèm Số 218, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",550.458 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,109 m²
550 triệu,"đường số 1, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,22 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,450 m²
19 tỷ,"289, Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","47,50 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,400 m²
90 tỷ,"1051 - 1053, Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Tp Hồ Chí Minh","315,79 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,285 m²
"2,50 tỷ","15, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","32,05 triệu/m²",,Đang chờ sổ,Officetel,,78 m²
16 tỷ,"1234, Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","279,23 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,57.3 m²
120 triệu,"25/4, Đường Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","3,43 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,35 m²
100 triệu,"Đường Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",5 triệu/m²,,Đang chờ sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,20 m²
82 triệu,"10, Phạm Ngọc, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","1,09 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,75 m²
390 triệu,"Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,95 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,200 m²
"5,90 tỷ","Lê Thị Riêng, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","88,06 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,67 m²
80 triệu,"Đường số 17, Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,67 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,30 m²
265 tỷ,"Đường Hậu Giang, Phường 12, Quận 6, Tp Hồ Chí Minh","110,28 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,2403 m²
2 triệu,"63, Đường Văn Cao, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",100.000 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Bàn giao thô,20 m²
"15,50 tỷ","Đường Đông Hưng Thuận 11, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","68,89 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,225 m²
98 triệu,385,"1,96 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,50 m²
120 tỷ,"Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","107,10 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1120.5 m²
150 triệu,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","8,57 triệu/m²",Đông,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,17.5 m²
"14,50 tỷ","Đường Đình Phong Phú, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","92,95 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,156 m²
600 triệu,"Vincup Coffee, Đường Bình Phú, Phường 10, Quận 6, Tp Hồ Chí Minh","4,62 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,130 m²
35 tỷ,"480/19, Hẻm 480 Nguyễn Tri Phương, Phường 9, Quận 10, Tp Hồ Chí Minh","97,22 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,360 m²
"3,90 triệu","Đường Vĩnh Khánh, Phường 9, Quận 4, Tp Hồ Chí Minh",26.000 đ/m²,Tây,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,150 m²
310 triệu,"Đường số 19, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","3,10 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
"7,90 tỷ","Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","65,83 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,120 m²
14 tỷ,"Đường số 19A, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",70 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
280 triệu,"495 HOÀNG SA, Đường Hoàng Sa, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","6,22 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,45 m²
11 tỷ,"130, Đường Trung Mỹ Tây 3, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","56,99 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,193 m²
50 triệu,"44, Đường Trần Thị Trọng, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",5 triệu/m²,Tây,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,10 m²
"18,50 tỷ","Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","119,35 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,155 m²
70 triệu,"70/23 , Đường Đô Đốc Lộc, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","1,17 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,60 m²
"3,80 triệu","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",42.222 đ/m²,Tây Nam,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,90 m²
600 triệu,"126, Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",2 triệu/m²,Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,300 m²
160 triệu,"400, Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","1,60 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
40 triệu,"184, Đường Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",4 triệu/m²,Đông Nam,Giấy tờ khác,Mặt bằng kinh doanh,Hoàn thiện cơ bản,10 m²
45 triệu,"Hẻm 539 Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh","1,50 triệu/m²",Đông,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,30 m²
7 triệu,"Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",145.833 đ/m²,Nam,Giấy tờ khác,Mặt bằng kinh doanh,,48 m²
"3,60 tỷ","595/013 , Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh","56,07 triệu/m²",Bắc,Đã có sổ,Shophouse,Nội thất đầy đủ,64.2 m²
"9,50 tỷ","Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","79,50 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,,119.5 m²
"21,50 tỷ","34, Đường Lê Hồng Phong, Phường 4, Quận 5, Tp Hồ Chí Minh","409,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,52.5 m²
15 tỷ,", Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","146,17 triệu/m²",,Giấy tờ khác,Shophouse,Hoàn thiện cơ bản,102.62 m²
100 triệu,"Trương Quốc Dung, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","1,67 triệu/m²",,Giấy tờ khác,Officetel,,60 m²
250 triệu,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","2,50 triệu/m²",Đông,Giấy tờ khác,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100 m²
"10,88 tỷ","Đường Quốc lộ 1, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","38,49 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,282.7 m²
44 tỷ,"Cầu Long Hậu, Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","6,29 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,7000 m²
49 triệu,"Khu dân cư Hồng Long, Đường Số 1, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,45 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,20 m²
"9,50 tỷ","Trương Công Định, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",95 triệu/m²,,Đang chờ sổ,Shophouse,,100 m²
68 tỷ,"An Phú Đông27, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",40 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,1700 m²
170 triệu,"Đường Số 24A, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","8,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,20 m²
60 triệu,"Hương Lộ 80B, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh",300.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
198 triệu,"41, Đường 385, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,08 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,95 m²
750 triệu,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",750.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1000 m²
35 triệu,"Đường số 53, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","1,67 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,21 m²
450 triệu,"179, Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,67 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,270 m²
1 triệu,"Đường Số 9, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",6.666 đ/m²,Đông Nam,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,150 m²
590 triệu,"Đường Nguyễn Ðình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",59 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,10 m²
800 triệu,"VÕ VĂN KIỆT, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh","2,67 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,300 m²
"11,75 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",120 triệu/m²,Đông,Giấy tờ khác,Shophouse,Bàn giao thô,97.9 m²
52 tỷ,"Đường Thạnh Mỹ Lợi, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","56,23 triệu/m²",,Đã có sổ,Officetel,,924.7 m²
18 tỷ,"Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh","409,09 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,44 m²
"4,25 tỷ","Tx22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","69,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,61 m²
"18,50 tỷ","Đường Nguyễn Thị Tuôi, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","26,89 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,688 m²
12 triệu,"Đường Nhật Tảo, Phường 4, Quận 10, Tp Hồ Chí Minh",342.857 đ/m²,Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,35 m²
42 tỷ,"Đường Hậu Giang, Phường 12, Quận 6, Tp Hồ Chí Minh","215,38 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,195 m²
"5,90 tỷ","216C, Nguyễn Thị Nê, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","16,12 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,366 m²
"32,30 tỷ","Đường Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","248,46 triệu/m²",,Đã có sổ,Officetel,,130 m²
2 tỷ,"Đường Độc Lập, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",10 triệu/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
37 tỷ,"Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","67,27 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,550 m²
800 triệu,"Đường Kênh Tân Hoá, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",909.090 đ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,880 m²
"13,49 tỷ","Đường Liên khu 10-11, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","23,96 triệu/m²",Đông,Đã có sổ,Văn phòng,Nội thất đầy đủ,563 m²
"15,20 tỷ","Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","135,71 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,112 m²
"7,80 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",50 triệu/m²,,Giấy tờ khác,Shophouse,,156 m²
"11,30 tỷ","Đường số 8, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","86,92 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,130 m²
"1,95 tỷ","Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","60,94 triệu/m²",Tây,Đang chờ sổ,Mặt bằng kinh doanh,Nội thất cao cấp,32 m²
100 tỷ,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","1,69 tỷ/m²",,Đã có sổ,Mặt bằng kinh doanh,,59.16 m²
"12,90 tỷ","Đường Lê Liễu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",129 triệu/m²,Tây,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,100 m²
"15,50 tỷ","Đường An Phú, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","22,14 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,700 m²
250 triệu,"đương  số 15, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,25 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
12 tỷ,"Đường số 1, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",30 triệu/m²,,Đang chờ sổ,Mặt bằng kinh doanh,,400 m²
250 triệu,"BC , Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",892.857 đ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,280 m²
790 triệu,"Đường số 641, Xã Phước Thạnh, Huyện Củ Chi, Tp Hồ Chí Minh","3,59 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,220 m²
900 triệu,"Hẻm 15B Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",15 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,60 m²
"5,50 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","22,92 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,240 m²
120 triệu,"1011, Đường Phạm Thế Hiển, Phường 5, Quận 8, Tp Hồ Chí Minh","1,50 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,80 m²
"5,95 tỷ","Đường Nguyễn Thị Kiểu, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","91,54 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,65 m²
"2,68 tỷ","Đường Tô Hiến Thành, Phường 13, Quận 10, Tp Hồ Chí Minh","178,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,15 m²
"2,70 tỷ","Phú Hữu, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,54 triệu/m²",,Đang chờ sổ,Shophouse,,65 m²
"7,90 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","50,64 triệu/m²",,Giấy tờ khác,Shophouse,,156 m²
"4,20 tỷ","Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","53,85 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,78 m²
55 tỷ,"Nguyễn Sơn , Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh","327,38 triệu/m²",Đông Nam,Đã có sổ,Văn phòng,Nội thất đầy đủ,168 m²
"35,50 tỷ","Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","23,67 triệu/m²",,Đã có sổ,Văn phòng,Hoàn thiện cơ bản,1500 m²
30 tỷ,"Đường Đặng Văn Bi, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","160,86 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,186.5 m²
"37,20 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","205,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,181 m²
"28,40 tỷ","8, Liên Khu 2-5, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","66,67 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,426 m²
250 triệu,"đường kênh 19/5 , Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,25 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
